,node,labels,umapLabels,dbscanSim,UMAPsim,out_sampleDBSCAN,out_sampleUMAP
0,model,-1,0,0.391195084,0.849844007,0.350479396,0.333440205
22,Model description,-1,0,0.457601144,0.808038527,0.406500118,0.402290939
23,This model,-1,0,0.515131506,0.854868121,0.50359841,0.482768677
25,The model,6,0,1,0.894269329,0.518203159,0.497686194
42,The model,6,0,1,0.894269329,0.518203159,0.497686194
45,SEIRD model ,-1,0,0.391195084,0.849844007,0.350479396,0.333440205
81,a model,-1,0,0.490926606,0.845593253,0.459727719,0.446425535
84,The susceptible model,-1,0,0.548372349,0.785941207,0.537151568,0.52397666
85,the SIR model,-1,0,0.502810977,0.76321215,0.502106105,0.48255562
110,The model,6,0,1,0.894269329,0.518203159,0.497686194
1,a Binomial distribution with k,-1,1,0.491215423,0.595042339,0.470039829,0.478373479
13,matrix Beta,-1,1,0.318382433,0.500649241,0.273916225,0.291988006
54,deterministic  time analogues of  model passage times,-1,1,0.551131045,0.564121754,0.555994288,0.553490986
2,The susceptible ( SIS ) model,-1,2,0.497915922,0.325361629,0.498340704,0.508215219
10,https:doiorgjmbs  ) ,-1,2,0.241941198,0.204489883,0.232617736,0.238997954
28,susceptibles in patches,-1,2,0.175356236,0.120469143,0.176046121,0.178937419
29,R_n,-1,2,0,0,0,0
88,Simon Frost,-1,2,0.146411841,0.154532574,0.149516342,0.147645607
109,The Kingman coalescent,-1,2,0.409912979,0.265495164,0.411008189,0.418939717
118,Wikipedia,-1,2,0.213351353,0.226094707,0.182606025,0.19569806
120,an example (,-1,2,0.454129666,0.285853974,0.451359924,0.46242239
3,the simplest models,-1,3,0.534323997,0.899681803,0.518466183,0.523117858
70,The models,-1,3,0.530078355,0.899681803,0.50989553,0.516573038
4,Susceptible individuals,0,4,1,0.899849246,0.388490555,0.369529705
5,Susceptible individuals,0,4,1,0.899849246,0.388490555,0.369529705
8,individuals,2,4,0.99999994,0.873169959,0.400194905,0.378479019
34,Susceptible individuals,0,4,1,0.899849246,0.388490555,0.369529705
35,Susceptible individuals,0,4,1,0.899849246,0.388490555,0.369529705
38,individuals,2,4,0.99999994,0.873169959,0.400194905,0.378479019
43,infected individuals,10,4,1,0.843009728,0.379312936,0.3533559
