node1,node2,simRate,merge
model,SEIRD model ,1.000000085,0
There,there,1.000000072,1
i,I,1.000000001,0
these models,These models,0.999999973,1
we,We,0.999999953,1
individuals,Individuals,0.99999988,1
Z _,Z _  _,0.973023692,1
many SEIR models,These models,0.950667353,0
many SEIR models,these models,0.950667353,0
The model,The models,0.943917085,1
The model,the model of,0.941482545,1
many SEIR models,other models,0.941434448,1
the elements on ,all elements on the row,0.928526772,1
One way,one,0.926364781,1
the model of,the state of our model,0.923366205,1
Z _,( Z _ Z _ ),0.920139347,0
the model of,the network model of ,0.919865718,1
the state,the states,0.90861581,1
the number of infection events,the number of recovery events,0.908493889,1
Z _  _,( Z _ Z _ ),0.906549961,0
two metapopulation SEIR models,other models,0.906406574,0
two metapopulation SEIR models,many SEIR models,0.905930995,0
One way,a way,0.903138434,1
the model of,The models,0.901073521,1
the simplest models,The models,0.899681803,1
outflow of each patch,the flow from patch,0.898998878,0
SEIRD model ,models,0.898765773,0
a capita rate beta I,a capita rate Gamma,0.898037839,0
a stochastic process for these parameters,a stochastic process for the transmission rate,0.897855368,0
This model,The model,0.893254087,1
the rate of transmission between individuals in the population,interest in the total number of people,0.891541708,0
The model,a model,0.888227422,1
( chapters sir  intro ),[ epicookbook chapters  intro ) ),0.882716204,0
The models,These models,0.882098218,1
these models,The models,0.882098218,1
the flow from patch,j flow from patch,0.881553152,
This model,a model,0.878447378,
the network model of ,the state of our model,0.877910344,
interest in the total number of people,a record of the number of infection,0.87718797,
the SIR model,a simple SIR model,0.876086501,
models,other models,0.873739777,
model,The model,0.873367855,
The model,SEIRD model ,0.873367855,
The model,the network model of ,0.87264306,
many SEIR models,The models,0.870989677,
The Newick format,Newick format,0.870204345,
the rate of transmission between individuals in the population,the number of susceptible individuals,0.870138777,
the state,part of the state of the art,0.869161703,
the number of susceptible individuals,interest in the total number of people,0.868695168,
many SEIR models,models,0.86753417,
the number of susceptible individuals,a record of the number of infection,0.867238553,
I,I R We,0.867225529,
i,I R We,0.867225529,
another language  things,a language,0.864076697,
The model,The susceptible model,0.862002109,
two metapopulation SEIR models,models,0.861879562,
Model description,SEIRD model ,0.861006847,
model,Model description,0.861006847,
model,This model,0.860625098,
This model,SEIRD model ,0.860625098,
model,a model,0.860137326,
SEIRD model ,a model,0.860137326,
Parameters,these parameters,0.858757466,
the rate of transmission between individuals in the population,a record of the number of infection,0.857250749,
The model in a closed population,the state of our model,0.854874458,
the simplest models,The model,0.853148087,
The model,the state of our model,0.852556667,
interest in the total number of people,part of the state of the art,0.852304399,
the number of parasites per host,a record of the number of infection,0.850324684,
Susceptible individuals,individuals,0.844295816,
Susceptible individuals,Individuals,0.844295816,
the number of parasites per host,the number of susceptible individuals,0.841837184,
a record of the number of infection,part of the state of the art,0.841262236,
large numbers of,interest in the total number of people,0.840891243,
The models,The susceptible model,0.840628726,
the rate of transmission between individuals in the population,a stochastic process for the transmission rate,0.839320668,
The model in a closed population,the model of,0.839082362,
a capita rate beta I,Beta rate of rate,0.838862472,
a special case of a general model,a model,0.838286298,
a grammar,a language,0.837187399,
a model,a simple SIR model,0.835865641,
The model,the SIR model,0.833473539,
Susceptible individuals,infected individuals,0.832953258,
Model description,This model,0.832799764,
a special case of a general model,state variables with a system of,0.832732808,
a special case of a general model,a way,0.830598218,
This model,The models,0.829711555,
a stochastic process for these parameters,state variables with a system of,0.828669456,
a stochastic process for these parameters,a stochastic model of genealogies,0.828483717,
the network model of ,The models,0.828400799,
a special case of a general model,birth of in this model,0.828141832,
state variables with a system of,a stochastic process for the transmission rate,0.828045459,
the model of,The susceptible model,0.826620237,
the states,part of the state of the art,0.826150154,
one of the simplest models,part of the state of the art,0.825468495,
the simplest models,the model of,0.825233171,
the number of parasites per host,interest in the total number of people,0.824739871,
Model description,The model,0.824731096,
each time step,time,0.824430214,
the model of,the effect of,0.824428231,
the minimum value of the transmission rate Beta,parameters as transmission rates,0.824168541,
interest in the total number of people,the probability of all paths,0.823867878,
One way,it,0.823358453,
the effect of,the state of our model,0.823125479,
SEIRD model ,The models,0.821279359,
model,The models,0.821279359,
state variables with a system of,a record of the number of infection,0.821027734,
the number of susceptible individuals,large numbers of,0.821013819,
the simplest models,these models,0.820966221,
the simplest models,These models,0.820966221,
the rate of transmission between individuals in the population,part of the state of the art,0.820802196,
alternative forms for the process,this process,0.820423547,
one of the simplest models,birth of in this model,0.820347572,
Model description,a model,0.820089918,
one of the simplest models,the probability of all paths,0.819558709,
a capita rate Gamma,Beta rate of rate,0.819155002,
The implementation in this section,The following,0.81802066,
large numbers of,a record of the number of infection,0.81784607,
a stochastic process for the transmission rate,downward drift on the transmission rate,0.816578505,
they,We,0.816572032,
we,they,0.816572032,
one of the simplest models,a special case of a general model,0.816220783,
the number of parasites per host,the rate of transmission between individuals in the population,0.81549507,
the number of susceptible individuals,the probability of all paths,0.815214004,
The models,the state of our model,0.815012887,
one,a way,0.81500769,
the rate of transmission between individuals in the population,the probability of all paths,0.813863796,
This model,the model of,0.81349905,
state variables with a system of,the state,0.813168156,
The model,The model in a closed population,0.812986346,
the probability of all paths,part of the state of the art,0.812176558,
a special case of a general model,a record of the number of infection,0.811543622,
the process,the method,0.811293222,
the simplest models,many SEIR models,0.811244123,
the rate of transmission between individuals in the population,state variables with a system of,0.810400215,
the model of,a model,0.808227221,
a stochastic process for these parameters,alternative forms for the process,0.807661277,
Z _,Z Z,0.807387111,
birth of in this model,the rate of transmission between individuals in the population,0.80710971,
The model in a closed population,the network model of ,0.806868164,
the elements on ,the effect of,0.806798816,
the state of our model,the established ways,0.805929468,
the rate of transmission between individuals in the population,downward drift on the transmission rate,0.805919174,
Sigma rate of breakdown,Beta rate of rate,0.805862363,
a stochastic process for the transmission rate,alternative forms for the process,0.805403897,
birth of in this model,a record of the number of infection,0.805136976,
one of the simplest models,a stochastic model of genealogies,0.805083344,
the number of recovery events,the state of our model,0.804807698,
The implementation in this section,the state of our model,0.804618866,
individuals,infected individuals,0.804088264,
