recipe_url,phrase,wikipedia_url,wikipedia_definition,academic_doi,academic_definition,
http://epirecip.es/epicookbook/chapters/simple,epidemiological ,https://en.wikipedia.org/wiki/Epidemiology,"Epidemiology is the study and analysis of the distribution (who, when, and where) and determinants of health and disease conditions in defined populations.",,,
http://epirecip.es/epicookbook/chapters/simple,compartmental model,https://en.wikipedia.org/wiki/Multi-compartment_model,A multi-compartment model is a type of mathematical model used for describing the way materials or energies are transmitted among the compartments of a system. Each compartment is assumed to be a homogeneous entity within which the entities being modelled are equivalent.,,,
http://epirecip.es/epicookbook/chapters/simple,population,https://en.wikipedia.org/wiki/Population,"In biology, a population is all the organisms of the same group or species, which live in a particular geographical area, and have the capability of interbreeding",,,
http://epirecip.es/epicookbook/chapters/simple,ordinary differential equation,https://en.wikipedia.org/wiki/Ordinary_differential_equation,"In mathematics, an ordinary differential equation (ODE) is a differential equation containing one or more functions of one independent variable and its derivatives. The term ordinary is used in contrast with the term partial differential equation which may be with respect to more than one independent variable",,,
http://epirecip.es/epicookbook/chapters/simple,ODE,https://en.wikipedia.org/wiki/Ordinary_differential_equation,"In mathematics, an ordinary differential equation (ODE) is a differential equation containing one or more functions of one independent variable and its derivatives. The term ordinary is used in contrast with the term partial differential equation which may be with respect to more than one independent variable",,,
http://epirecip.es/epicookbook/chapters/simple,nonlinear,https://en.wikipedia.org/wiki/Nonlinear_system#Nonlinear_differential_equations,"In mathematics and science, a nonlinear system is a system in which the change of the output is not proportional to the change of the input. Nonlinear dynamical systems, describing changes in variables over time, may appear chaotic, unpredictable, or counterintuitive, contrasting with much simpler linear systems.",,,
http://epirecip.es/epicookbook/chapters/simple,numerical techniques,https://en.wikipedia.org/wiki/Numerical_analysis,Numerical analysis is the study of algorithms that use numerical approximation (as opposed to general symbolic manipulations) for the problems of mathematical analysis (as distinguished from discrete mathematics). ,,,
http://epirecip.es/epicookbook/chapters/simple,deterministic ,https://en.wikipedia.org/wiki/Deterministic_system,"In mathematics, computer science and physics, a deterministic system is a system in which no randomness is involved in the development of future states of the system.[1]A deterministic model will thus always produce the same output from a given starting condition or initial state",,,
http://epirecip.es/epicookbook/chapters/simple,continuous,https://en.wikipedia.org/wiki/Continuous_or_discrete_variable,"A continuous variable is one which can take on infinitely many, uncountable values.",,,
http://epirecip.es/epicookbook/chapters/simple,stochastic,https://en.wikipedia.org/wiki/Stochastic,The word stochastic is an adjective in English that describes something that was randomly determined,,,
http://epirecip.es/epicookbook/chapters/simple,epidemic,https://en.wikipedia.org/wiki/Epidemic,"An epidemic is the rapid spread of infectious disease to a large number of people in a given population within a short period of time, usually two weeks or less",,,
http://epirecip.es/epicookbook/chapters/simple,algorithm,https://en.wikipedia.org/wiki/Algorithm,"In mathematics and computer science, an algorithm is an unambiguous specification of how to solve a class of problems. Algorithms can perform calculation, data processing, and automated reasoning tasks",,,
http://epirecip.es/epicookbook/chapters/sir/intro,susceptible-infected-recovered (SIR) model ,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,"In 1927, W. O. Kermack and A. G. McKendrick created a model in which they considered a fixed population with only three compartments: susceptible, S(t); infected, I(t); and removed, R(t). S(t) is used to represent the number of individuals not yet infected with the disease at time t, or those susceptible to the disease.I(t) denotes the number of individuals who have been infected with the disease and are capable of spreading the disease to those in the susceptible category. R(t) is the compartment used for those individuals who have been infected and then removed from the disease, either due to immunization or due to death. Those in this category are not able to be infected again or to transmit the infection to others.",https://doi.org/10.1098/rspa.1927.0118,,
http://epirecip.es/epicookbook/chapters/sir/intro,closed population ,https://study.com/academy/lesson/open-closed-populations-characteristics-differences-in-growth-patterns.html,A closed population is a group this is not able to exchange members with different populations over time. The population can grow only through new individuals being born and will only lose members through death. ,https://doi.org/10.1098/rspa.1927.0118,,
http://epirecip.es/epicookbook/chapters/sir/intro,Susceptible individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,"Individuals not yet infected with the disease at time t, or those susceptible to the disease.",https://doi.org/10.1098/rspa.1927.0118,,
http://epirecip.es/epicookbook/chapters/sir/intro,infected individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,Individuals who have been infected with the disease and are capable of spreading the disease to those in the susceptible category.,https://doi.org/10.1098/rspa.1927.0118,,
http://epirecip.es/epicookbook/chapters/sir/intro,recovered individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,"Individuals who have been infected and then removed from the disease, either due to immunization or due to death. Those in this category are not able to be infected again or to transmit the infection to others",https://doi.org/10.1098/rspa.1927.0118,,
http://epirecip.es/epicookbook/chapters/seir/intro,susceptible-exposed-infected-recovered (SEIR) model,https://en.wikipedia.org/wiki/Compartmental_models_in_epidemiology,SEIR is a modification to the SIR model with the addition of the exposed compartment. for many important infections there is a significant incubation period during which the individual has been infected but is not yet infectious themselves. During this period the individual is in compartment E (for exposed).,,,
http://epirecip.es/epicookbook/chapters/seir/intro,Susceptible individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,"Individuals not yet infected with the disease at time t, or those susceptible to the disease.",,,
http://epirecip.es/epicookbook/chapters/seir/intro,infected individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,Individuals who have been infected with the disease and are capable of spreading the disease to those in the susceptible category.,,,
http://epirecip.es/epicookbook/chapters/seir/intro,exposed but non-infectious,https://en.wikipedia.org/wiki/Compartmental_models_in_epidemiology,For many important infections there is a significant incubation period during which the individual has been infected but is not yet infectious themselves. During this period the individual is in compartment E (for exposed).,,,
http://epirecip.es/epicookbook/chapters/seir/intro,open population,https://study.com/academy/lesson/open-closed-populations-characteristics-differences-in-growth-patterns.html,An open population is a population that is able to gain and lose outside members different populations over time. This means that the population is not geographically isolated,,,
http://epirecip.es/epicookbook/chapters/sis/intro,susceptible-infected-susceptible (SIS) model,https://en.wikipedia.org/wiki/Compartmental_models_in_epidemiology,"Some infections, for example those from the common cold and influenza, do not confer any long lasting immunity. Such infections do not give immunization upon recovery from infection, and individuals become susceptible again.",,,
http://epirecip.es/epicookbook/chapters/sis/intro,endemic (disease),http://www.cs.columbia.edu/digigov/LEXING/CDCEPI/gloss.html,The constant presence of a disease or infectious agent within a given geographic area or population group; may also refer to the usual prevalence of a given disease within such area or group.,,,
http://epirecip.es/epicookbook/chapters/sis/intro,Susceptible individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,"Individuals not yet infected with the disease at time t, or those susceptible to the disease.",,,
http://epirecip.es/epicookbook/chapters/sis/intro,infected individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,Individuals who have been infected with the disease and are capable of spreading the disease to those in the susceptible category.,,,
http://epirecip.es/epicookbook/chapters/deleo1996/intro,Microparasite,http://vlab.amrita.edu/?sub=3&brch=67&sim=1138&cnt=1,"A microparasite is an organism that can complete its life cycle within a single host. Most of the microparasites are viruses, bacteria, or fungi; a few are protists also.",https://www.nature.com/articles/379720a0,,
http://epirecip.es/epicookbook/chapters/deleo1996/intro,Susceptible individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,"Individuals not yet infected with the disease at time t, or those susceptible to the disease.",https://www.nature.com/articles/379720a0,,
http://epirecip.es/epicookbook/chapters/deleo1996/intro,infected individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,Individuals who have been infected with the disease and are capable of spreading the disease to those in the susceptible category.,https://www.nature.com/articles/379720a0,,
http://epirecip.es/epicookbook/chapters/deleo1996/intro,force of infection,https://en.wikipedia.org/wiki/Force_of_infection,"In epidemiology, force of infection (denoted lambda) is the rate at which susceptible individuals acquire an infectious disease. Because it takes account of susceptibility it can be used to compare the rate of transmission between different groups of the population for the same infectious disease, or even between different infectious diseases.",https://www.nature.com/articles/379720a0,,
http://epirecip.es/epicookbook/chapters/deleo1996/intro,transmission ,https://en.wikipedia.org/wiki/Transmission_(medicine),"In medicine, public health, and biology, transmission is the passing of a pathogen causing communicable disease from an infected host individual or group to a particular individual or group, regardless of whether the other individual was previously infected",https://www.nature.com/articles/379720a0,,
http://epirecip.es/epicookbook/chapters/stochastic,stochastic,https://en.wikipedia.org/wiki/Stochastic,The word stochastic is an adjective in English that describes something that was randomly determined,,,
http://epirecip.es/epicookbook/chapters/stochastic,population,https://en.wikipedia.org/wiki/Population,"In biology, a population is all the organisms of the same group or species, which live in a particular geographical area, and have the capability of interbreeding",,,
http://epirecip.es/epicookbook/chapters/stochastic,oscillation,https://en.wikipedia.org/wiki/Oscillation,"Oscillation is the repetitive variation, typically in time, of some measure about a central value (often a point of equilibrium) or between two or more different states. ",,,
http://epirecip.es/epicookbook/chapters/stochastic,Doob-Gillespie algorithm,https://en.wikipedia.org/wiki/Gillespie_algorithm,"In probability theory, the Gillespie algorithm (or occasionally the Doob-Gillespie algorithm) generates a statistically correct trajectory (possible solution) of a stochastic equation. Mathematically, it is a variant of a dynamic Monte Carlo method and similar to the kinetic Monte Carlo methods. It is used heavily in computational systems biology.",https://pubs.acs.org/doi/abs/10.1021/j100540a008,,
