src_vid,src_name,src_vtype,dst_vid,dst_name,dst_vtype,edge_relation,edge_description,value
2158005519315541972,synth_code_method_jsnsyk,code_method,2158005519315541972,synth_code_method_jsnsyk,code_method,call,IsCalledBy,temp
9273837100130050808,synth_argument_elfmkx,argument,2158005519315541972,synth_code_method_jsnsyk,code_method,input,IsInputTo,temp
3606113519077284134,synth_argument_tuple_itftxv,argument_tuple,2158005519315541972,synth_code_method_jsnsyk,code_method,input,IsInputTo,temp
3343965544259366387,synth_return_value_annbkh,return_value,2158005519315541972,synth_code_method_jsnsyk,code_method,output,IsOutputBy,temp
4766690981297529572,synth_return_tuple_frgkar,return_tuple,2158005519315541972,synth_code_method_jsnsyk,code_method,output,IsOutputBy,temp
11056813295400771843,synth_variable_kdazxm,variable,3542164719113921272,synth_unit_looxer,unit,unit,IsMeasuredIn,temp
15820302655398115804,synth_control_flow_block_fjdopb,control_flow_block,2158005519315541972,synth_code_method_jsnsyk,code_method,unit,IsComponentOf,temp
472880628319671776,synth_concept_xdlmje,concept,472880628319671776,synth_concept_xdlmje,concept,comp,IsComponentOf,temp
4383933847320435830,synth_code_function_qxvfbb,code_function,472880628319671776,synth_concept_xdlmje,concept,impl,Implements,temp
2158005519315541972,synth_code_method_jsnsyk,code_method,472880628319671776,synth_concept_xdlmje,concept,impl,Implements,temp
10467744733476021502,synth_type_zmwlgf,type,10467744733476021502,synth_type_zmwlgf,type,inherit,IsSubTypeOf,temp
10467744733476021502,synth_type_zmwlgf,type,472880628319671776,synth_concept_xdlmje,concept,repr,Represents,temp
