file_location,variable,KMeansLabels,DBSCANLabels
epicookbook/src/ContinuousTimeSIR.jl,dt,23,15
epicookbook/src/ContinuousTimeSIR.jl,head_size,29,1
epicookbook/src/ContinuousTimeSIR.jl,I,28,12
epicookbook/src/ContinuousTimeSIR.jl,pf,5,1
epicookbook/src/ContinuousTimeSIR.jl,pf1,12,1
epicookbook/src/ContinuousTimeSIR.jl,pf2,12,1
epicookbook/src/ContinuousTimeSIR.jl,R,5,19
epicookbook/src/ContinuousTimeSIR.jl,Ra,5,19
epicookbook/src/ContinuousTimeSIR.jl,results,12,26
epicookbook/src/ContinuousTimeSIR.jl,results[:I],12,26
epicookbook/src/ContinuousTimeSIR.jl,results[:R],12,26
epicookbook/src/ContinuousTimeSIR.jl,results[:S],12,26
epicookbook/src/ContinuousTimeSIR.jl,results[:time],6,26
epicookbook/src/ContinuousTimeSIR.jl,ru,12,19
epicookbook/src/ContinuousTimeSIR.jl,S,18,23
epicookbook/src/ContinuousTimeSIR.jl,Sa,18,23
epicookbook/src/ContinuousTimeSIR.jl,ta,5,19
epicookbook/src/DiscreteStochErlangEpidModel.jl,beta,27,5
epicookbook/src/DiscreteStochErlangEpidModel.jl,correct_result,12,-1
epicookbook/src/DiscreteStochErlangEpidModel.jl,density_prob,33,-1
epicookbook/src/DiscreteStochErlangEpidModel.jl,distribution,0,13
epicookbook/src/DiscreteStochErlangEpidModel.jl,E_1,5,19
epicookbook/src/DiscreteStochErlangEpidModel.jl,exposed_block_adm_rates,19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,exposed_blocks,19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,"exposed_blocks[1, n_exposed_blocks]",19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,"exposed_blocks[time, :]",19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,"exposed_blocks[time, 1:end - 1]",19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,exposure_prob,19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,factorials,12,-1
epicookbook/src/DiscreteStochErlangEpidModel.jl,factorials[1],12,-1
epicookbook/src/DiscreteStochErlangEpidModel.jl,factorials[i + 1],12,-1
epicookbook/src/DiscreteStochErlangEpidModel.jl,gamma_E,27,5
epicookbook/src/DiscreteStochErlangEpidModel.jl,gamma_I,27,5
epicookbook/src/DiscreteStochErlangEpidModel.jl,I_1,5,12
epicookbook/src/DiscreteStochErlangEpidModel.jl,infectious_block_adm_rates,19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,infectious_blocks,19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,j,5,-1
epicookbook/src/DiscreteStochErlangEpidModel.jl,k_E,5,19
epicookbook/src/DiscreteStochErlangEpidModel.jl,k_I,5,19
epicookbook/src/DiscreteStochErlangEpidModel.jl,n_bin,5,19
epicookbook/src/DiscreteStochErlangEpidModel.jl,n_exposed_blocks,19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,n_infectious_blocks,19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,new_exposed,19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,new_infectious,19,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,new_recovered,21,14
epicookbook/src/DiscreteStochErlangEpidModel.jl,one_sub_cummulative_probs,33,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,one_sub_cummulative_probs[end],0,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,population_size,19,14
epicookbook/src/DiscreteStochErlangEpidModel.jl,R_1,5,19
epicookbook/src/DiscreteStochErlangEpidModel.jl,S_1,18,23
epicookbook/src/DiscreteStochErlangEpidModel.jl,sim,26,12
epicookbook/src/DiscreteStochErlangEpidModel.jl,sim_data,26,12
epicookbook/src/DiscreteStochErlangEpidModel.jl,sim_data[:time],26,12
epicookbook/src/DiscreteStochErlangEpidModel.jl,test_result,12,1
epicookbook/src/DiscreteStochErlangEpidModel.jl,test_sim,26,4
epicookbook/src/DiscreteStochErlangEpidModel.jl,time,6,15
epicookbook/src/DiscreteStochErlangEpidModel.jl,transmission_rate,30,8
epicookbook/src/DiscreteTimeSEIRD.jl,dD,5,26
epicookbook/src/DiscreteTimeSEIRD.jl,dE,5,26
epicookbook/src/DiscreteTimeSEIRD.jl,dR,21,19
epicookbook/src/DiscreteTimeSEIRD.jl,dS,5,23
epicookbook/src/DiscreteTimeSEIRD.jl,du,5,19
epicookbook/src/DiscreteTimeSEIRD.jl,N,5,19
epicookbook/src/DiscreteTimeSIR.jl,a,5,-1
epicookbook/src/DiscreteTimeSIR.jl,i,28,12
epicookbook/src/DiscreteTimeSIR.jl,infection,19,1
epicookbook/src/DiscreteTimeSIR.jl,r,5,19
epicookbook/src/DiscreteTimeSIR.jl,recovery,21,14
epicookbook/src/DiscreteTimeSIR.jl,s,18,23
epicookbook/src/DiscreteTimeSIR.jl,sir_out,8,24
epicookbook/src/DiscreteTimeSIR.jl,t,6,19
epicookbook/src/DiscreteTimeSIR.jl,tl,5,19
epicookbook/src/ExactRecursiveExpressions.jl,a1,5,-1
epicookbook/src/ExactRecursiveExpressions.jl,a2,5,-1
epicookbook/src/ExactRecursiveExpressions.jl,a3,5,-1
epicookbook/src/ExactRecursiveExpressions.jl,a4,5,-1
epicookbook/src/ExactRecursiveExpressions.jl,a5,5,-1
epicookbook/src/ExactRecursiveExpressions.jl,final_size[Z1 + 1],12,26
epicookbook/src/ExactRecursiveExpressions.jl,final_size[Z1 + 2],12,26
epicookbook/src/ExactRecursiveExpressions.jl,final_size[Z5 + 1],12,26
epicookbook/src/ExactRecursiveExpressions.jl,Z1,5,26
epicookbook/src/ExactRecursiveExpressions.jl,Z2,5,26
epicookbook/src/ExactRecursiveExpressions.jl,Z3,5,26
